Production of gold,mine,kilograms,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Dominican Republic,,,4106,,26084,,36085,,31134,,37932,,35242,,31633,,31801,,28117,,25287,,22177
Ecuador,,,5139,,8676,,7322,,7723,,6761,,6368,,8212,,6293,,9086,,12614,,15111
Egypt,,,8175,,11102,,11734,,13657,,17139,,16941,,14694,,14946,,14069,,12919,,13716
Equatorial Guinea,,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200
Eritrea,,,9735,,2862,,840,,753,*,1400,*,2700,,3768,,2443,,3019,*,2200,*,3300
Eswatini (Swaziland),,,,,,,0,,0,,0,,0,,12,,6,,1,,0,,0
Ethiopia,,(b),12581,(b),13050,(b),10340,(b),9370,(b),8573,(b)(e),4704,(b)(e),2570,(b)(e),3180,(b)(e),3320,(b)(e),9190,(b)(e),8680
Fiji,,,1439,,1218,,1188,,1368,,1500,,1425,,1281,,1106,,1090,,1107,,584
Finland,,,9100,,8660,,8085,,8342,,8865,,9102,,8732,,7927,,8668,,9082,,8390
France (French Guiana),,,1147,*,6220,*,6830,*,6460,*,6100,*,8000,*,10000,*,10000,*,10000,*,11000,*,10000
Gabon,,,684,,1201,*,1078,*,1356,*,1070,,600,,83,,107,,371,,967,,1063
Georgia,,*,3100,*,4300,*,2300,*,3100,*,3600,,3032,,4299,,4052,,5401,,3513,,4908
Germany,,,,,,,,,0,,0,,0,,9,*,10,*,10,,12,,14
Ghana,,*,128600,,137820,,137861,,112402,,114488,,133303,,149216,,143940,,125884,,88013,,108115
Greece,,,26,,822,,552,,510,,86,,1571,,2839,,2333,,3440,,3313,,3561
Greenland,,,307,,25,,,,,,,,,,,,,,,,,,
Guatemala,,,6473,,6386,,6142,,5610,,3910,,1647,,100,,100,,0,,100,,0
Guinea,,(x),16154,,18322,,23465,,21464,,29192,,46847,*,25086,,27552,,91802,,100958,,84713
Guyana,,,13643,,14963,,12053,,14029,,22167,,20334,,19069,,19963,,18209,,15522,,15129
Honduras,,,1859,,1985,,2839,,2736,,2607,,2596,,2148,,1760,,1790,,2574,,1911
India,,(a),1588,(a),1564,(a),1441,(a),1323,(a),1595,(a),1651,(a),1664,(a),1724,(a),1127,(a),1100,(a),1155
Indonesia,,,69291,,59804,,69023,,92171,,80868,,99030,,111858,,108690,,65890,,78996,,85203
Iran,,(w),1179,(w),1656,(w),1760,(w),2358,(w),4537,(w),7100,(w)*,7600,(w)*,8140,(w)*,6919,(w)*,7000,(w)*,7000
Ivory Coast,,*,13000,*,14700,*,19000,*,23200,*,25100,,25395,,24488,,32568,,38523,,39779,,47600
Japan,,,7232,,7411,,7114,,7699,,6455,,6369,,6453,,6312,,7590,,6225,,4886
Kazakhstan,,,40006,,42552,,50339,,63614,,74737,,85339,,100299,,106559,,116964,,114843,,129583
