Production of copper,mine,tonnes (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Pakistan,,*,23900,*,20700,*,18000,*,16000,*,14000,,10052,,12538,,13049,,13200,,18806,,16346
Panama,,,,,,,,,0,,0,,0,,0,,147480,,205548,,331000,,350438
Papua New Guinea,,,125326,,105523,,75901,,45185,,80022,,105419,,96287,,99398,,86988,,66958,,75800
Peru,,,1298761,,1375641,,1377642,,1700817,,2353859,,2445585,,2437035,,2455440,,2150126,,2326035,,2438631
Philippines,,,65444,,90861,,91824,,83835,,83649,,68156,,69933,,71892,,60856,,51586,,59500
Poland,,,427064,,428879,,421285,,426196,,424000,,419000,,401300,,449000,,442000,,443000,,443000
Portugal,,,74043,,77236,,75433,,83081,,74453,,63812,,49064,,41553,,32230,,38145,,32098
Romania,,,5902,,6800,,7200,,3600,,7300,,7400,,8722,,9200,,9100,,9100,*,11600
Russia,,,582900,,655900,,691500,,711400,,702300,,761100,,870500,,812400,,924100,,938800,,948000
Saudi Arabia,,,4410,,5095,,10848,,11563,,27500,,36279,,57300,,67300,,75400,,76350,*,75000
Serbia,,,32200,,36200,,33739,,29827,,41300,,44800,,44100,,43550,,52207,,121150,,203998
Slovakia,,,31,,40,,46,,58,,39,,32,,21,,17,,20,,76,,30
South Africa,,,88800,,80821,,78697,,77360,,65257,,65503,,46900,,52501,,29068,,28307,,49194
Spain,,,99894,,104600,,103900,,112690,,167736,,198353,,187714,,170556,,182678,,142381,,128796
Sweden,,,82422,,82904,,79345,,75125,,78992,,104450,,106142,,99332,,100065,,88108,,88337
Tajikistan,,,,,600,,100,,1788,,2493,,2953,,3210,,2330,,978,,1845,,1206
Tanzania,,,5840,,21140,,16400,*,16800,*,17400,*,13000,*,38000,*,17000,*,59000,*,115000,*,118000
Turkey,,,104300,,120500,,122000,,108000,*,1e+05,,83000,,79600,,73500,,107000,,108100,*,115000
USA,,,1166800,,1278200,,1384700,,1380000,,1430000,,1260000,,1220000,,1260000,,1200000,*,1230000,,1100000
Uzbekistan,,,95600,*,1e+05,*,1e+05,*,103000,,135000,,140100,,141200,,137300,,142800,,148500,,148500
Vietnam,,,12716,,12958,,20296,,22524,,22636,,21451,,26235,,30192,,30782,,33930,,34709
Zambia,,,695200,,759800,,708259,,710860,,725359,,797266,,875848,,789942,,868671,,800696,,763550
Zimbabwe,,,6665,,8285,,8261,,8218,,9101,,8839,,9077,,8700,,7933,,8650,,10168
Notes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
b),Metal content of ore,,,,,,,,,,,,,,,,,,,,,,
