Production of coal,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Spain,Sub-bituminous,,1826680,,1870569,,1347849,,1318625,,730470,,1833357,,1630088,,0,,0,,0,,0
Tajikistan,Bituminous,,,,,,,,,,,,1707000,,1838025,,1963827,,1951200,,2055000,*,2200000
Tajikistan,Coal,,412000,,515600,,878100,,1041900,,1361400,,,,,,,,,,,,
Tajikistan,Lignite,,,,,,,,,,,,53000,,64990,,63963,,77939,,95000,*,110000
Tanzania,Bituminous,,78672,,84772,,246128,,257321,,276030,,563053,,627652,,712136,,689989,,976319,,2511419
Thailand,Lignite,,18652557,,18110763,,17991362,,15150549,,17069712,,16258637,,14851950,,14071710,,13250574,,14221573,,13641283
Turkey,Anthracite,,3235299,,2789338,,1916833,,2074049,,1881664,,1764028,,1620682,,1805118,,1613624,,1726109,,1794712
Turkey,Lignite,,78014194,,63323865,,66207010,,58730170,,77896048,,84303492,,97017695,,92993461,,84811522,,90780036,,102097457
USA,Anthracite,(k),2148000,(k),1944097,(k),1766289,,1942591,,1509856,,1734636,,1719706,,2368120,,2151782,,1915066,,2255261
USA,Bituminous,(k),440321000,(k),427450027,(k),435440500,,366166474,,293286820,,320642381,,326777482,,307431973,,215789949,,235778221,,245417059
USA,Lignite,,71602574,,70060970,,72109393,,64915983,,66299871,,61381007,,51733060,,48245042,,44773678,,42967898,,43114862
USA,Sub-bituminous,,436395960,,393978539,,397912999,,380500043,,299530054,,318812663,,305613307,,282577367,,222923550,,243175405,,248222074
Ukraine,Bituminous,,65705000,,64427000,,45932000,(a),29917000,(a),31630000,(a),24167000,(a),26254000,(a),25530400,(a),24168300,(a),23761900,(a),16500000
United Kingdom,Anthracite,,,,,,,,,,,,445000,,399000,,510000,,345000,,266000,,157000
