Production of platinum group metals,mine,kilograms (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
Uzbekistan,Palladium,,,,,,,,,,,,,,0,,28,,91,,160,,93
Zimbabwe,Iridium,,,,,,,,,,,,,,586,,845,,837,,612,,602
Zimbabwe,Other platinum metals,,2090,,2677,,2667,,2612,,3093,,3005,,,,,,,,,,
Zimbabwe,Palladium,,10524,,10153,,10138,,10055,,12222,,11822,,12094,,11639,,12890,,12619,,13935
Zimbabwe,Platinum,,10524,,13066,,12483,,12564,,15110,,14257,,14703,,13857,,15004,,14732,,16460
Zimbabwe,Rhodium,,,,,,,,,,,,,,1334,,1224,,1368,,1333,,1461
Zimbabwe,Ruthenium,,,,,,,,,,,,,,1165,,791,,1026,,1239,,1341
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"Wherever possible, figures relate to quantities of platinum group metals thought to be recovered from ores originating in the country stated",,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
1:,"South Africa thought to be the only country to producer osmeiun, however data is unavailable.",,,,,,,,,,,,,,,,,,,(2018 Onwards),,,
2:,Figures for metal production are only given for countries where recovery is thought to be based predominantly on domestic materials or on imported materials which have not been recorded as mine production elsewhere in the table,,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
3:,"In addition to the countries listed, Bulgaria, China, Ethiopia, Indonesia, Papua New Guinea and Philippines are believed to produce platinum group metals",,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
3:,"In addition to the countries listed, Bulgaria, China, Ethiopia, Indonesia and Philippines are believed to produce platinum group metals",,,,,,,,,,,,,,,,,,,(1993 Onwards),,,
3:,"In addition to the production listed, concentrates produced in Spain, and possibly other countries, are believed to be processed in China to recover platinum group metals",,,,,,,,,,,,,,,,,,,(2005 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
b),Platinum group metals; all forms,,,,,,,,,,,,,,,,,,,,,,
c),Sales from mine production and stocks,,,,,,,,,,,,,,,,,,,,,,
d),Years ending 7 July of that stated,,,,,,,,,,,,,,,,,,,,,,
